country,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,28.1,30.7,29.5,30,27.7,31,34.5,32.8,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,24.5,26,22.7,21.5,22.8,21.2,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,10,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,19.9,19.5,,19.4,20,19.5,18.4,18.4,19.1,19.7,,,19.2
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,40,44.4,38,35.6,36.6,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,11.3,10.6,9.9,11,10.1,9.77,8.68,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64,8.62,7.81,7.44,7.38,8.19,7.42,7.28,6.8,7.33,7.7,7.52,7.7,6.54
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,32.3,,,,30.1,,,20.2,,,28.9,27.4
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.55,13,11.2,11.2,10.1,11.1,10.9,11.8,12.3,12.7,12.1,12.2,9.89,9.32
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,8.42,22.4,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,17.2,20,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,10.8,11,9.69,9.18,,10.9,10.4,10.5,11.2,14.5,10.9,11.6
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,27.7,26.4,24.3
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,20.6,21,20.7,20.5,19.9,,19.7,19.3,19.3,19,19.1,19.3,19.2,18.3,18.8,,19.4,19.3,20,19.7,22.2,23.2,24.3
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,,20
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,24.4,25.1,22.2,19.1,17.4,19.4,21,21.8,21.5,21.6,20.2,19.3,18.2,15.3
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19,,,6.19
Cambodia,,,,,,,,,,,,,,,,,,,,,,,21.1,,,,,,,,,,79.2,7.13,,,12.7,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,10.8,,,,17,,,
Canada,19.7,20.2,19.8,18.5,18.4,18,22,21.7,20.1,18.3,17.3,15.9,14.6,14,15.2,16.9,17.4,17.3,16.7,16,16.2,15.9,15.3,14.2,13.9,13.3,13.2,13.2,13.1,12.8,12.4,12.3,12.7,14.4,14.1,13.6,13.8,13.5,13.9,13.8,13.5,12.6
Chile,,,,,,,,,,,,,,,28.1,,24.1,,24.6,,20.8,,23.3,,24,,,20.5,,,19.9,,,23.2,11.7,11.7,11.7,11.8,12.3,17.8,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,,24.3,,,,25,23.6,23.4,22.5,22.1,21.4,20.9,21,21.8
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,,,,,,,,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,,,,21.4,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,21.4,17.3,17.8,16.9,18.4,16.3,15.8
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,10.2,,,36,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,14.2,12.9,11.6,13.4,15.7,16.2,16.6,19.6,19.3,18.1,16.9,15.3
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.93,9.37,19.5,10.7,8.99,9.65,9.9,11.7,14.6,16,18.7,17,15.3,16,16.1
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,12.6,13.3,9.16,6.93,6.7,8.51,8.83,8.28,8.89,9.13,8.11,7.47,7,6.29
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44,5.45,4.31,3.62,4.3,4.3,5.4,6.04,6.25,6.63,6.03,5.78,6.2,5.81,6.96
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,19.7,20.9,20.3,20.9,20.4,20.5,19.4,19.1,19.1,21.5,20.8,19.9,20.2,20.8,19.5,20.5,19.5,24.3
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,20.1,18,,21,18.4,17.5,17,16.4,16.1,16.5,15.7,16.4,16.6,17.4,20.2,19.8,18.4,17.6
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,29.9,33.1,32.1,31.6,28.4,,27.6,27.6,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,27.2,25.9,26,25.4,28.5,28.5,28.2,28.4
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,15.1,10.9,8.91,9.39,9.09,14.5,14,11.6,12.2,11.3,11.7,10.8,9.14,9.43
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,,,,,18.4,,,19.1,,20.1,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9.78,8.09,7.86,7.09,7.95,9.84,9.02,8.43,8.56,9.3,10.2,10.6,9.92,9.4
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52,10.7,11.2,11.3,10.7,10.6,12.7,12.7,12.3,12.5,11.2,11.2,11.9,11.8,11.5
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10.1,11.3,10.1,9.3,8.43,8.8,8.3,7.49,7.1,6.25,6.36,6.17,6.69,6.26
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,,,,,,,11.1,,25.5,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,14.9,20.8,12,11.3,11.4,12.4,14.8,17.4,20.2,20.4,19.1,17.2,15.8,15.3
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,27.6,,,,,,24.4,24.7,22.5,26.9,26.4,26.4,27.3,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,26.8,27.6,25.8,26.5,26.2,27.5,28.7,26.8,28.7,27,27.8,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,18.8,12.4,11.5,11.5,13.6,12.6,13.2,14.8,15.5,13.6,11.6,11.1,11
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,6.93,4.66,4.8,4.1,4.32,7.33,7.35,6.69,5.89,5.47,5.72,4.55,4.12,3.87
India,,,,,,,,,,,,,,,,,,,32.6,,,,,,32.2,,,,26.1,30.4,,,,,27.9,,27.5,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,29.4,29.9,31.1,31.5,31.4,31.9,30.4,30,28.2,27.7,26.6,25.9,22.9,22.9,22.4,22.9,22.5,21.4
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,34.4,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2,,,,,40.6,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84,10.4,15.1,14.4,10.1,12.5,18.3,19.4,19.2,19.2,16.4,15.3,14.3,12.5,10.9
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,30.4,31.6,16.7,15.7,15.6,15.5,14.9,14.8
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3,17.1,16.8,16.1,16.6,17.6,19,19.6,20.9,22.1,22,21.3,19.8,20
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36,4.29,,4.21,3.91,3.69,3.61,3.52,3.27
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,14.9,13.5,13.2,12.8,12.5,10.7,9.71,9.55,8.2,7.8,8.03,8.02,8.76,8.46,9.49,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,32.4,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,18.5,60.5,62.5,21.2,20.7,21.4,20.4,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,,,,,,,42.1
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,12.3,10.9,11.5,11.9,11.8,17.5,17.8,16,14.9,13,12,10.5,11.2,10.3
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.88,8.77,8.32,7.07,8.85,12.1,13.2,11.8,11.2,11.1,9.91,9.2,9.41,9.15
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14,6.25,5.5,6.69,5.66,6.21,5.79,5.12,4.74,5.89,4.99,6.26,6.17,5.37,5.91
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,33.1,30.7,27.7,25.5,25.2,24.8,24.2,25.1,24.7,24.3,24.9
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,13.9,13.7,12.8,,11.7,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,23.5,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,21.3,24.9,,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,11.9,10.3,11.5,8.27,9.88,9.53,10.2,10.6,9.94,10.5,10.3,8.47,9.08
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,33.8,30.2,27.4,28,28.5,22.2,20.6,21.3,21.8,21.5,21.5,21.6,21.2,20.9,20.1,20.3,19.9
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,21.3,21.1,21.9,22.1,22.2,21.8,21.1,20.5,20.3,19.7,19.6,18.7
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,29.2,29.3,28.6,30.9,27.8,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,17.8,18.7,17.6,16.5,17.6,18.4,17.5,16.8,20.5,19.8
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,17.7,16.5,,16.7
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6,,17.4
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,32,30.5,,33.4,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78,4.86,5.26,4.04,3.53,3.44,4.11,4.28,4.31,4.85,5.65,5.53,4.67,4.57,4
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,11.1,10.7,10.9,11.2,14.1,13.4,13.2,13.6,11.9,11.4,11.3,12,11.8
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,1.42,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,,
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9.18,11.3,4.56,4.41,4.13,5,4.9,5.04,5.16,5.63,5.47,5.03,5.37,4.59
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,34.9,33.3,31.5,31.1,32,,31,30.9,30.4,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,27.2,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,44.7,,,,,33,36.9,36.1,32.2,30.8,29.8,29.1,29.1,28.8,28.1,29.1,27.3,29.9,31.3,32.1,32.1,32.3,33
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,20.9,21,17.6,17,18.8,18.4,17.1,17.2
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,24.9,21.7,20.5,18.9,19.2,19.6,17.6,17,33.1,34.7,39.2,36.1,38.8,35.5,37.7,18.1
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,16.8,14.5,20.4,23,18.7,17.4,17.1,16.4,15.4,16.1,15.4,16.6,16.8,18.5,16.9,17.7
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,25,24.8,24.8,25.3,24.4,24.8,24.3,23.3,,22.2,21.7
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,13.9,12.6,10.6,9.04,10.1,10.8,11.5,11.8,12.2,12,11,10.5,9.48
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,11.1,10.6,11.2,10.2,11.2,11.4,12.6,13.9,14.1,12.3,11.3,10.6,9.34
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,0.01,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,18.8,16.8,14.8,13.3,11.6,13.9,16.6,17.5,16.8,17,17,18.1,17.4,15.2
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,14.2,12.7,12,11.8,12,12,12.4,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,,,30.8
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,,20.6,18.8,18.4,18.3,16.1,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,21.6,21.2,21.6,21.7,19.8,21,20.1,18.1,17.6
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81,7.57,5.98,6.37,4.93,4.44,,3.95,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,17.1,15.8,14.4,12.6,11.1,12.6,14.1,13.8,13.8,13.7,12.8,13.7,12.3,12.1
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26,6.56,8.93,8.52,6.7,6.5,7.46,7.11,7.08,9.28,9.24,9.42,9.51,8.03,6.52
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,31.4,34.6,27.5,36.5,17.5,34.3,33.3,32.6,,,,,32.2,32,31.3,30.5,31.2,31.2
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,11.8,13,11.8,12,14.3,18.1,17.8,18.3,18.6,18.6,17.1,15.6,14.6,13.3
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,,,26.4,27.7,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51,7.87,14.2,9.34,7.48,7.82,9.6,7.67,7.53,7.83,7.44,7.16,6.72,6.49,6.15
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28,6.59,7.21,7.18,6.23,6.29,8.05,6.75,6.84,6.81,7.33,7.4,7.37,7.03,6.51
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,,9.01,9.01,,,,,,,,14.9,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,12.5,12.6,12.8,14.2,13.3,13.6,15,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,24.3,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,39.2,37,34.9,32.3,29.6,28.7,25.5,24.8,23.9,23.9,24.2
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.09,,,,6.95,,,14.5,5.91,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.6,18.3,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,8.42,8.55,11.9,12.1,13.2,13.6,14.3,13.9,13.2,11.9,11.1,10.9,10.3
United States,,,,,,,,,,,,,,,,,,,19,18.8,18.1,17.1,16.2,15.8,15.5,16.2,17.1,17.2,16.8,16.8,15.8,15.6,16.9,19.6,19.9,18.9,18.3,18.2,16.8,15.5,15,13.8
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,19.3,20.5,19.7,18.8,17.8,18.1,17.2,17.7,18,18.2,18.7,18.7,17.9
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,19.2,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,,,9.44,9.99,9.73,0.6,0.6,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,,,,,
