country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,,2.5,2.3,1.9,2,2.3,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,3.7,4.4,6.6,5.7,,,,,,,,,,,,,17.1,21.2,17.9,15.2,13.1,12.2,10.1,9.1,8.5
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,2.28,2.05,2.24,1.93,1.76,1.5,1.16,1.19,1.13,1.58,1.87,3,2.09,2.48,1.85,1.91,1.78,1.82,1.56,1.93,2.96,3.68,3.5,,3.55,4.32,4.36,3.79,3.84,4.53,5.42,5.92,6.1,6.01,5.54
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,15.6,14.8,15.3,15.8,16.3,16.5,16.9,18.3,19.4,20.1,22.1,23.6,25.8,31.9,35,33,32.5,31.9,30.5,29.5,31.7,37,36.7,36.5,35.3,34.5,33.5,31.8,31.9,31.8,31.5,29,27.6,26.7,24.4,22.7
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73,5.3,,3.42,,1.58,,,,,3.25,,0.571,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,5.4,5.4,,,,,,,,4.94,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,2.7,3.3,,,,,,,,,,,,2.82,2.47,2.24,3.14,3.5,2.97,3.39,3.31,3.6,3.4,3.44,,,,,,,,,,2.92,3.13,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,1.58,,,,,,,,,,,,,,4.79,,6.43,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16,,,10.6,,,6.04,,,,6.44,6.86,8.4,
Malta,,,,,,,,,,,,,,,,,,,,,,,,8.2,,8.4,6.9,4.8,4.3,4.1,4.4,4,4.4,5.2,4.8,4.3,5,5.8,6.1,6.3,,,,,,,,,5.57,6.51,6.7,5.97,5.72,6.47,6.1,5.51,,4.51
Marshall Islands,,,,,,,,,,,,,,,,,,,,,9.02,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,4.87,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,,,,,,,,,,,,15.3,,,,,,,,,,,,8.46,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19,3.45,3.68,,4.6,5.6,6.1,7,8.1,,,,5.68,5.77,5.42,5.21,,4.33,4.48,,4.93,4.93,5.36,5.28,4.52,4.64
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,,2.52,2.67,2.88,3.97,6.04,4.45,2.97,2.87,1.95,2.19,2.15,2.52,2.61,3.08,3.36,3.38,3.41,3.78,5.36,5.37,5.19,4.89,4.89,4.79,4.23,3.83,3.31
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,9.73,8.69,8.1,9.57,10,8.67,8.94,6.25,4.55,7.83,9.08,7.73,6.82,6.03,4.62,4.45,5.46,4.83
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,,,,,,,,,,,,,,,4.58,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,6.2,7.1,,,,7.2,5.92,5.58,7.13,5.07,4.25,4.02,5.15,5.39,8.41,6.98
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,,18.1,,,18.8,,19.8,20,17.8,,,15.4
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,12.8,15,14.2,15.1,12.8,14,,18.7,15.8,15.1,17.5,14.3,13.8,12.5,11.4,11.6,11,11.1,9.35,9.58,9.33,8.84,8.94,8.37,8.76,9.1,9.49,9.11,8.81,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,,,,,,,,,,,,,,,,,,3.15,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,0.665,,1.22
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,,,17.9,,,23.2,,,19.1,,,,19.3,,,,32.5,,20.3,,14.7,17.3,16.7,,21.8,
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,21.4,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,,,,,,,,1.6,,,,,3.2,2.6,,,
Netherlands,,,,,,,,,,1.4,1.2,1.7,3,2.9,3.5,,5.2,,4.4,,4.4,,10.1,,14.6,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13,6.53,,4.48
New Zealand,,,,,,,,,,,,0.3,0.6,0.2,0.1,0.4,0.4,0.5,1.6,1.8,2.6,3.3,3.6,5.5,4.7,3.8,3.67,4.05,5.85,7.46,8.38,11.3,11.4,10.5,8.78,6.44,6.32,6.85,7.8,7.3,6.26,5.48,5.13,4.44,3.56,3.51,3.56,3.4,4.08,6.1,6.22,6.25,6.52,5.63,5.04,4.92,4.76,4.26
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.8,4.7,4.9,7.09,9.3,11.8,,,,,14.8,,13.1,10.8,9.71,5.88,,7.45,5.48,5.13,5.52,4.8,,,,,4.78,5.14,3.84,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.56,,,,,,1.72,,,,3.4,,4.6,,,,0.4,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,4.01,3.83,3.62,6.13,
Norway,,,,,,,,,,1,0.8,0.8,,,,,,,,,1.3,1.7,,,,,,,,,,,,,,,,,3.49,3.26,3.62,3.85,3.96,,,,,,,3.55,4.04,3.42,3.56,3.59,3.71,4.56,5.36,4.58
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,,,,,,,,,,,,3.41,,,,,,,,1.8,
Pakistan,,,,,,,,,,,,,,,,,,,,3.27,3.18,3.2,3.21,4.54,4.41,4.21,4.18,3.34,2.92,2.74,2.81,4.19,3.79,3.36,3.41,3.71,3.61,3.91,4.09,3.85,5.54,5.31,6.24,6,6.22,5.96,0.642,0.434,0.396,0.58,0.656,0.831,,2.82,1.77,2.8,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54,,,,,6.35,,,,,3.12,,,,,3.73,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,24.2,20.1,14.3,11.6,13.7,27.1,33.5,26.8,28.1,23.8,24.4,22.3,27.2,24.1,23.1,19.2,20.5,20.6,23.9,22.4,22.2,22.3
Panama,,,,,,,,,,,,,,,5.21,4.86,5.23,7.14,6.19,6.71,,,,7.68,8.25,9.49,8.7,9.42,14,13.7,10.4,12.8,10.8,9.71,10.7,10.8,,10.7,10.3,8.87,,,,,,,,5.27,,5.11,2.88,2.08,1.97,1.81,2.2,2.39,2.9,3.08
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,2.68,3.7,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,4.59,3.61,,5.41,9.79,9.12,5.11,6.3,6.46,4.84,6.21,6.13,5.36,5.96,5.57,4.89,3.1,7.82,4.53,,,6.78,,,5.85,5.27,3.88,4.4,3.43,3.42,4.67,,,,,,,,4.06
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,,6.05,6.5,4.81,7.5,,,,6.38,6.8,6.55,7.49,,7.16,,,,,,,,,,,,,,,,
Philippines,,,,,,,,,,,,4.61,4.88,4.59,3.14,3.58,3.18,2.59,2.4,,3.19,3.51,3.58,3.69,5.21,4.8,4.95,8.05,7.65,7.32,,9.26,8.89,8.45,8.85,8.85,7.86,8.15,9.82,9.69,10.9,3.5,11.2,3.33,3.35,3.54,3.88,3.25,3.54,3.68,3.49,3.44,3.36,3.29,3.52,,2.6,2.46
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,10.6,,,,,,,8.36,11.5,14.6,17,,18.9,18.5,16.6,13,8.99,6.43,7.76,9.32,9.01,9.42,9.69,8.5,7.33,6.11,4.87
Portugal,,,,,,,,,,,,,,,1.35,4.1,6,,5.32,4.73,,,,4.6,,6.16,6.71,5.78,4.3,3.48,3.27,,,,5.85,6.48,6.36,5.8,3.8,4.18,3.04,,3.81,5.16,5.57,6.65,6.53,6.6,6.47,8.83,9.76,12.3,15.6,16,13.5,12.2,11,8.41
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,,,,2.25,,,1.05,,,0.22,0.14,0.14,0.14,0.17,0.14,0.1,0.0823,0.06,0.06,0.0607
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,8.1,,,,,,,,,,,,,,,,7.67,7.57,7.74,7.35,7.71,7.35,7.53,6.59,5.6
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,5.94,8.29,9.68,10,12.1,13.5,13.2,10.8,9.34,8.14,8.46,8,7.31,7.42,6.35,6.46,8.91,7.88,6.97,5.79,5.76,5.48,5.82,5.76,5.36
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,0.82,,,,,,1.15,,,,,,,,,,2.78,,1.09,,,15.7
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,,,,,1.13,,,,,5.24,7.84,,7.8,,,
San Marino,,,,,,,,,,,,,,,,,,,,1.8,2.7,,,,3.9,3,3.2,2.8,2.7,2.1,2.4,2.3,2,2.6,1.6,1.5,2,1.9,1.8,1.6,1.7,,1.52,1.4,,1.69,1.24,,,2.35,2.13,,3.36,3.94,4.28,4.42,3.52,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,0.5,0.44,0.7,0.48,0.4,0.23,,,,,,,3.03,,,,,,,,,,9.71,12.1,10.2,11.1,10.8,11.1,,,,,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,3.69,3.78,3.87,4.21,4.36,4.49,4.6,4.71,4.21,3.54,3.53,,3.35,2.92,2.78,2.86,2.44,2.51,3.22
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.94,,,,,7.92,,,,6.62,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,16.8,17.9,15.8,11.9,14.8,18.4,22.4,23.3,20.9,18.3,17.1,14.6,12.8
Seychelles,,,,,,,,,,,,,,,,,,,,,,8.61,9.7,14.3,19.9,,,,,,,,,,8.61,,,,,,,,,,,6.1,,,,,,3.76,,,3.78,3.52,3.71,3.7
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,5.58,,,
Singapore,,,,,,,,,,,,,,,,,3.89,3.4,1.82,1.61,1.58,1.38,1.23,1.49,2.62,4.48,7.44,5.41,4.09,2.58,,2.2,3.03,2.87,2.78,3.21,3.38,2.43,3.22,4.64,,,,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,11.1,,,,,,,,,,,,,,,,,11.4,14.2,13.6,13.5,14,12.8,10.3,8.77,7.9
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.5,2.1,2.8,4.5,,12.1,,,,,,,,,,,,,6.06,,,3.99,5.9,7.42,8.16,8.39,9.42,8.92,8.05,7.49,5.77
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.3,21.1,25.7,26.5,27.5,27.2,24.5,23.7,22.7,21.6,19.7,21.9,22.8,22.6,22.8,23,23.1,23.2,24.5,25.5
South Korea,,,,,,,,,,,5.41,5.29,5.45,5.05,4.98,5.05,4.89,4.6,3.73,4.65,6.2,5.74,5.49,5.21,4.76,4.99,4.92,3.92,3.02,3.06,2.91,2.69,2.76,3.29,2.84,2.32,2.36,2.82,7.83,7.19,5,4.5,3.7,3.8,3.9,4,3.8,3.7,3.6,4.1,4,3.6,3.4,3.3,3.6,3.7,3.8,3.8
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,,,,,,,
Spain,,,,,,,,,,,,,,2.45,3.94,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,19.6,21,24.6,25.6,23.6,20.8,18.1,15.7
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72,,,,,,6.65,5.78,6.2,6.6,6.02,6.2,5.55,4.81,4.31,3.62,4.29,3.51,2.68,2.76,3.13,2.87,3,2.9,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,8.25,,,,,,,,,,,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,,,,,,,,,17.2,17.5,15,12.4,10,11,14.4,,17.6,17.1,20.7,,21.3,19.4,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,18.4,,,,,,,,,,22.6,,,,,,,,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,21.4,,,,,21.2,,13.1,14.5,,,,,,,,,,,,,,,,,,,,,,12.7,9,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,13.1,12.6,,13.7,11.9,11.4,7.04,7.87,7.51,7.19,9.89,,,,,,,,,,4.84,3.6,4.21,5.08,3.63,3.52,4.38,,
Sweden,,,,,,,,,,1.82,1.35,2.36,2.51,2.22,,,,1.1,1.5,1.4,1.3,1.8,,,,,,,1.8,,,,,,,,,,,,,,,,,7.59,,,,8.66,8.69,7.84,8.21,8.2,8.19,7.56,7.36,6.97
Switzerland,,,,,,,,,,,,,,,,0.4,0.8,0.4,0.3,0.3,0.2,0.2,0.4,0.8,1,0.8,0.7,0.6,0.6,0.5,,,,,,,,,,,,,,,,,,,,3.77,4.48,4.08,4.28,4.6,4.69,4.7,4.84,4.57
Syria,,,,,,,,,,,7.2,8.1,4.5,5.2,5.3,,6.1,4.6,4.5,3.8,,,,3.85,4.1,,,,,5.04,,5.15,,7.6,6.8,5.5,,13.1,,6,1.6,8.22,8.3,7.75,,,5.28,5.21,8.35,5.68,6.23,10.4,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1.2,1.6,1.9,2.4,2.4,,,,,,,,,,,,,,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,3.03,4.7,,,,2.1,,,2.2,,2.62,,2.1,1.57,,,
Thailand,,,,,,,,,,,,,,,0.62,0.56,1.04,1.05,0.95,1.1,1.05,1.46,2.33,3.89,3.94,4.13,3.12,4.23,2.61,1.24,2.03,1.96,1.24,1.21,1.13,0.9,1.03,0.85,4.36,4.03,3.53,3.35,2.5,2.23,2.06,1.95,1.58,1.53,1.48,1.53,0.621,0.65,0.62,0.5,0.585,0.589,0.666,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,,,11.2,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.79,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,12.9,12.7,13.1,,7.9,5.97,5.79,5.26,5.79,5.53,5.92,7.52,9.13,8.91,20.6,21,20.7,,15.8,17.1,17.7,16.1,15.1,13.2,12.3,11.3,10.9,10.2,8.6,7.82,8.26,6.41,5.85,4.5,,,,3.41,2.73,2.86,2.11,1.98,1.93,2.99,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,,,,,,,15.5,,14.8,14.6,14,14.1,13.9,,12.1,11.5,11.3,11.1,11.3,10.9,15,14.6,13.3,,12.5,12.5,12.4
Turkey,,,,,,,,,,,,,,,,,,,,,,,8.95,10.1,8.94,11.3,,,7.3,7.98,,,,,,,,,,,,8.72,10.7,10.7,10.8,10.4,8.59,8.77,9.61,12.5,10.4,8.27,7.63,7.93,9.03,9.18,9.55,9.37
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.3,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.95,,,4.9,,,,,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,1.17,,,,,,,,,,,2.7,,1.7,,,,,,,2.87,1.37,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,,,,,4,3.8,3.3,3.4,3.4,,,,,,10.3,,,,,,10.1,10.8,
United Arab Emirates,,,,,,,,,,,,,,,,1.87,,,,,,,,,,1.05,,,,,,,,,,1.72,,,,,2.18,,,,,2.5,,,1.98,2.44,,,,,,,1.07,1.41
United Kingdom,,,,,,,,,,,,4.5,5,3.5,3.6,5.4,7,7.3,7,6.5,8.3,12.9,13.1,,,,,,,,,,,,,,,,,,,,,,,5.14,5.69,5.52,6.06,8.49,8.57,8.64,8.32,7.95,6.36,5.46,4.93,4.44
United States,5.4,6.4,5.2,5.2,4.6,4,3.2,3.1,2.9,2.8,4.4,5.3,5,4.2,4.9,7.9,7.1,6.3,5.3,5.1,6.9,7.4,9.9,9.9,7.4,7,6.9,6.2,5.5,5.2,5.7,7.2,7.9,7.2,6.17,5.63,5.44,4.94,4.42,4.11,3.9,4.8,5.93,6.27,5.64,5.07,4.62,4.73,6.1,10.3,10.5,9.37,8.23,7.64,6.26,5.37,4.94,4.4
Uruguay,,,,,,,,,,,6.5,7.1,7.7,7.8,7,,,,,,,5.1,9.1,,9.27,,8.5,6.7,,,6.85,7.15,6.83,6.47,6.95,7.86,9.14,,7.47,8.7,10.6,11.2,13.5,13,10.1,9.36,8.15,6.71,5.62,5.51,5.27,4.84,4.91,4.99,5.06,6.36,6.5,6.56
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.86,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,5.44,,6.45,,7.5,8.86,12.5,13.8,13.6,11.3,9.83,7.76,10.1,,9.49,8.04,6.98,,8.95,10.3,9.8,9.87,13.4,13.6,,14.4,14.4,13.2,,,,,7.43,7.81,,,6.83,6.41,6.25,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,3.19,2.42,2.25,2.37,2.27,1.92,1.88,1.86,,,2.12,,1.89,1.15,1.09,1.12,1.41,1.4,1.99,1.99,2.05
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.33,,,,,12.5,,,,,13,11.9,12.1,11.8,11.5,11.3,12.4,,,,12.3,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,16.3,,18.9,,,,,,,14.1,,,,,,,,8.14,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,10.8,,,,,6.51,,,,,,,6.76,,,8.73,,7.28,,,,,4.26,,,,,,,4.73,12.1,,6.72,,,
